Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BotTests\BotTests.csproj,File,BotTests\BotTests.csproj,,,Microsoft.EntityFrameworkCore.InMemory 9.0.10,,,,,"Microsoft.EntityFrameworkCore.InMemory, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.7"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BotTests\BotTests.csproj,File,BotTests\BotTests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConfigUI\ConfigUI.csproj,File,ConfigUI\ConfigUI.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.10,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.7"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,ConfigUI\ConfigUI.csproj,File,ConfigUI\ConfigUI.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.22.1,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.22.1  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ConfigUI\ConfigUI.csproj,File,ConfigUI\ConfigUI.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 9.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 9.0.0  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ConfigUI\ConfigUI.csproj,File,ConfigUI\ConfigUI.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ConfigUI\ConfigUI.csproj,File,ConfigUI\Program.cs,44,12,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DtekParsers\DtekParsers.csproj,File,DtekParsers\DtekParsers.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,DtekParsers\DtekParsers.csproj,File,DtekParsers\ScheduleParser.cs,453,12,T:System.Net.Http.HttpContent,,,,,content = await response.Content.ReadAsStringAsync();
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,E:\sources\ImageDownloader\ImageDownloader.csproj,File,E:\sources\ImageDownloader\ImageDownloader.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SdHostApi\SdHostApi.csproj,File,SdHostApi\SdHostApi.csproj,,,Microsoft.AspNetCore.OpenApi 8.0.26,,,,,"Microsoft.AspNetCore.OpenApi, 8.0.26  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SdHostApi\SdHostApi.csproj,File,SdHostApi\SdHostApi.csproj,,,Microsoft.Extensions.Hosting.WindowsServices 9.0.10,,,,,"Microsoft.Extensions.Hosting.WindowsServices, 9.0.10  Recommendation:  Remove Microsoft.Extensions.Hosting.WindowsServices, and replace with new package Microsoft.Extensions.Hosting.WindowsServices 10.0.7"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SdHostApi\SdHostApi.csproj,File,SdHostApi\SdHostApi.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.22.1,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.22.1  Recommendation:  No supported version found"
